title,soldprice,link
Apple iPhone 11 Pro - 64GB - Factory Unlocked - Excellent Condition,"IDR7,142,714.29",https://www.ebay.com/itm/114982579699?epid=9037957801&_trkparms=ispr%3D1&hash=item1ac57eedf3:g:Uk0AAOSwhi9hO8iy&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLrinIE1aKQz8HOAonxD%252B887%252BCSxQzjeCf8UfL28h%252BY1VXRnaxlwP%252BkscVy364NahGbgBz5E2EqXwvkSuz5R6%252BOEsXNE3qPdxqDnmfHWPifhPVOcKCTQsjTkCL3rMM6vfHah1Uo3hegSUZkMHPifGXfuI6TCa4XJIHC5ZqOfpMCFqJlNmxrZZsRE0r7rnQMwCFZJSbkAYqAQ%252FQ%252Bo634h1%252BAi5I00FLN39IlMwH28IeA71wXxs9AEGPWLs39y3gIFNS6CBLZoYbITbrnf8BTmWrkvSfnBeq1YKJwaoK3ok%252B90MjAoY5hEBn6TMhppv4tiJAgyR4IM11t8KhB1HNjxRCb7dxgJPIadZ%252BPYq2GTcGO1weDD4SMoRuWzRXhG7wLx%252F2VIdfJfEEFAT8O8Y5r%252BWKUW1n%252BTw5Erxw0AAUx2bua%252FpNmpbSOiUCZsVxiD8yDtE%252Fiu99u1jH72qOA%252ByTNJnx%252BXSBjGkv4D%252Flk3OLuHEp8Vb7Tv4agwHB8qqlnvSZFMwoK54uQ8VkfGsBj%252FrM5uqbJmdDH%252BS2G%252FTdqt5UMkCNq96vjybUsZV0T9XwaEOJcF80%252B6ODyAcwHvy6UFitX3jkHiFgX%252BjDbxYzAREV649xPjpmSPltTQYL%252B7yTt4vEEfnac88gpiU%252BpE4L4WQOvAUps4%252B6ZJ1XfzF4FONvnS2tjcJRnRjUp%252BQwOAQslBS3191qHsmaUf0ARAdkpKkMQwSWA8juYWJbXxdY0NifgNXeTp6s%252ByOck641jMQmNOvi5vHOkR4uPeUid8jkVYzNPBmisEg5te3gf4iRTEGC%252BKVzDLV%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone 11 - 64GB - Factory Unlocked - Very Good Condition,"IDR5,357,000.00",https://www.ebay.com/itm/144195214173?epid=17035818063&_trkparms=ispr%3D1&hash=item2192b45b5d:g:N0MAAOSw9JVhO7M9&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS9d9gBrkNbRQtRn8MVXnYknzg5CAyW2U9EmVJK08vBSD%252FCo1JhXtb0RzsZWCVAB3gOWlBfT3azzIfNJAy7dMcbJlVZq4V3OZ59bYbJdFpKDpxM8HSA%252BIWfSvqe31ugsTMRPMW4rbCmlLrB%252FNKQg08BQSaRW11zgA7Kx%252B%252B7%252BQTlirjhRsKSTKF5OI6dnA5BMebCa%252FdY%252BORPO%252FvOK3O2BU2%252BBtsku2ceDcOsiTJYkxPua33rFHbkv6d0p%252BL9Ys%252BYr8MM8HYdNAYwwZaxtafLFb7gok5nNLzyVrRl%252B9UolXuxcpaT%252B0hLE5P%252Fw29yB0cMfjYACp6fWGN8A73xDqT7BCpoCBZOMOwUQM6kgsVoRCZuEFsmZQruhhOFFi2%252FpLYjUrO9GHB8Ajp0AyNwFKYK%252BZWXmVC6bvtCzTXZzo9wvM8e45qkyHh3B6XRrxsVEj0LPYmKRR4VBx6YypPBdsQ578WwVcYxFtXGch%252BgTMwcvJK%252Bi4Kq7URoNbLZb5oB0MKMrJX%252BX7pMrmTkaBcx7%252FSuL7zriCZ4ga2OiBZOieb0qq3XIc5XBq0QzBl2gWjN19QvzognXuPOG286ZDe37bkYVMv7vGAkRIiFGFnlsXc5jwRVeT30QlCD%252BQ%252BDNrxFlu%252F5pbyRipp%252FJeO%252FdczaPcVr7vArOU4OgHiBkqQqsN2LEZzM5D%252Fwv0eRlBipTASKQUbnVZS8muWaR6gROdZLk%252F%252BEfKtwpnyH6d%252Bvoa4NoQiDDT9NFLue9UvhQSzsIMs6V9EpgPe6aAycxrL9oH824gTL3GVwdhksa80ae6YyBlrheaGJiPN4gXwKBRedPh0WUTyMgvu%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone XR 256GB T-Mobile Locked Excellent Condition,"IDR4,070,714.29",https://www.ebay.com/itm/304249610872?epid=19027695903&hash=item46d6b0a278:g:~vwAAOSw-x1hqVll
Apple iPhone 8 Plus 64GB GSM Unlocked AT&T T-Mobile Good Condition,"IDR3,285,000.00",https://www.ebay.com/itm/294291252419?epid=23024045643&hash=item44852024c3:g:q~oAAOSwLdxhjFsW
Apple iPhone 6 Plus 64GB GSM Unlocked AT&T T-Mobile Very Good Condition,"IDR1,570,714.29",https://www.ebay.com/itm/304077017715?epid=240531138&hash=item46cc671273:g:NtMAAOSwiI5hjFcn
Apple iPhone 8 256GB GSM Unlocked AT&T T-Mobile Excellent Condition,"IDR2,913,571.43",https://www.ebay.com/itm/294381042676?epid=28025366901&hash=item448a7a3bf4:g:dpcAAOSwxINhjVUy
Apple iPhone SE - 64GB - Factory Unlocked - Good Condition,"IDR999,857.14",https://www.ebay.com/itm/144376410632?epid=233836006&hash=item219d813208:g:OCgAAOSwcrph5ws4
Apple iPhone 11 - 128GB - Factory Unlocked - Good Condition,"IDR5,571,285.71",https://www.ebay.com/itm/144195250952?epid=5036501892&_trkparms=ispr%3D1&hash=item2192b4eb08:g:N0MAAOSw9JVhO7M9&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS9d9gBrkNbRQtRn8MVXnYkpHxCNt9CJIvoCD8hG3pkuIG3zrxAFSPLuKnolAqIw6OwG7GhsJpX4Aldd86Iciq79WSVmLB3wwBT7G1%252FbN8FVBRgCE%252FKwcDjTXMlX%252Br8srRGPS4glprus9BEiOaoAsUpUga%252FMLWTAKTAyFH%252ByOKEAFcrpPq7ZNlMh%252BtirjiWlCVAZLqETEu89opOKKDoKcYjYHX2WnVJhsmH0VPf5gFFxE0Cmm8%252FUZAawcVcyfjqW2IIcApJDBa8BK%252FOIqS9THQ8YV4KbgDxph8Rj3ksUHb7u6j9gN8qy14uFxpNW8rX%252BjViHKAMBJ8yiiz1wMDKVNEQqEu0uAzmqOUZ8DJ86CdshISilTNcPObLeeswvgHw8tI60KonGo6BNVvrIAy48VQ8WQSxhehKug2FL1FRY8nPHaouJ9C5VaAv6USkAfakEppnbS4iIvsJ6j%252F%252FqONQLxmVwPy9Chjz26q1iieE%252FcxIgOSWQChvyFPsTLTSzUOKuuZOQY3y9aX3cUeLh%252FltNVHPJgBzUwZzNMREDS%252FlPW7edyYyXBaXIMCUB1%252BD60jdfBGPEHvOQ8UtwqIxBK8CQSiDPdA9rRGhyhNZzxm58TWfA7DJ5hB1cQf78a%252FGnjn%252BMMJWm%252BdLOO9mLCO3bVizzeqA%252BR0GknVgWszQgRPZf9ePUuZMBtv7ZFG4mNckwt8lRUCYmb6LpORQbzyNCgyB3MCIXuWks7PgcfOnc3QevHgkigwlsWift%252BSDYTgt0sEFnFJ8uKMj46EgOlSCLN2A5JSyH8f68KYgNh3PGITGixpyE1avrSV1GNu6okOSEUa%252FIUx%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone 11 Pro Max - 64GB - Factory Unlocked - Excellent Condition,"IDR8,428,428.57",https://www.ebay.com/itm/114988279133?epid=25041284608&_trkparms=ispr%3D1&hash=item1ac5d5e55d:g:Uk0AAOSwhi9hO8iy&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLjlnpsA7XsVaUn8t%252FX5x8LgH3tfXh658C9%252FGwLOe7RUrIMp1nu5m46A4CQR7746UbGkFr79jKFeNjzSpt0EBFdATu1Aek5bLGSTD2Tb09qfdv4D96xtAL1TFaqI%252FFoBEsZrjXZCgBW5vtq84RGk7sEAz3UnOD6sr39YyEpzP7UTrcEPVH4W%252FYku2cIGtGyG9YVJbOr2kAwG%252B2P7zgGzooeII1eZP6vZk7juKrHIJC%252B9do4Y9cfOupy3aG04WTjjKpo08pbpo8ZcDW7AlR9Zi59Q3G7HC35f1%252F1UmFs2hFxrSzvy55ncAju3%252FCBmbeTS3mTIBen3HvwSO9QhxQnGoGD7OQSz%252FepoOFYKScn%252FyAMbVKCl8AXPvryqgzSzBOHgOz5fRGDgNjk%252FUvrvKyY%252F%252Bp2Ew5KNBZiWynLkK%252FpUkiqh1qkUl%252BIcXlEZEuxZSHLSQ6CZ8uOMSfK0YLeeSzfv9Akv6%252BtoSZYPx7SqSjkosAQ4nWXvGn0i8QJnSknrkdh5zCAWekK%252F3ac4Pl%252BWuwaBLqJLancppeXwf%252FA%252BsDihQ%252BFPW7VGBPGMHXIfTRA1hqa1errJzJRrf2PGVXI41Grln%252FNqcnWuA3Tu85wiNQo8QAp%252FdCvWSbC8tCeqRDWykXBhhjcUfN%252FYBgoDLdxtrql63wE7D0vy7UgGN5QdLpoqiU76ZNc4zFZYwBKiKlsZYJ2labstpnuYBZdJTpQazMIaRnVOAL2FYCa3KPr57pHgsQKrRVn20KpkUYFbanZG7d0z4b%252BUFeU9Ao2aYlgm8CbQaz0x8Wo4ynUXcUwxpnvBW4Aal%7Cclp%3A2334524%7Ctkp%3ABFBMqr-Xmt1f
Apple iPhone 8 Plus - 64GB - Factory Unlocked - Very Good Condition,"IDR3,642,714.29",https://www.ebay.com/itm/114980264729?epid=25033738705&_trkparms=ispr%3D1&hash=item1ac55b9b19:g:XcwAAOSw7NthOlZh&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLjYNxtR%252FEc2nNo%252BT2F1wU2GX%252B3sLyiG%252BnfKaRkqDqYQsOsiZcvbjOQstFCNbwS%252FtTBlix8xeSMo2fRfOFEuOVhVNbuKvKpo0YICUwwgpT%252FwhzB60KoP%252BBv5O%252Ff1sEA%252BRaLUD4lU6FqDRnwUW46YrWeak4bCLO4s7%252FCHUR56cInD0vx9gn5s%252FbnGOrNo0SQTPhvOWL1i7xcONKThJia69AGtFjQUeyQ17LZvwby3DZfL2p9nqd07VCFqFNN7mp%252BoLQ%252BPP4FYtahUKnNsv%252BRxlaW8Jb3hR4ygT5kbBU%252B2qYOWqdVEIla3pRJm8u1BPG5015qTWsD%252FaWP4xK7W%252B5LOBkCVHwR9vsNhf%252Fz82dyVlw9sLaxOPvoxVPqNGT3OMNRODJme%252BSGdbySlnbPjde3kCED2jUkh%252FiYSQGrFuujz%252B17fwSFnxxJf5GmZz4%252FyYVQvD5pVcO3QLeKwRUlwBPP9eLGqtVSjQjFw5RyEJ4QJ7%252B%252BqezU%252BaarSvYyBMCseQ5SrIY17OxDIvNfCN6Zcwfpnwiz1XrliUDGSVgiH9rMhiRKUF9NRnRBXpj39huSwLHZWb1dzkqerS6EqQBTZ4FRnAl%252FF2qM4zzSsVtGQAP1f6NfS6uUA02ZM3qGsiLhi5W2aS1h7GxT3S9AiBHKODjuyjWDhzHyllTB7rJbH%252BdBNTZG3XzwvcDbgMuLOxlSXBaFYZnFMeYPq%252FcI5gyQk5eLOELv%252FcSSGusYxFxk%252FX7wKby6OVCkfusnE11F7qPWjdALGfL%252B16GaOXtqbG67sp%252BPWN3WE4uRohQ882L2ZQ6HLg9P%252B1%7Cclp%3A2334524%7Ctkp%3ABFBMqr-Xmt1f
